inds.id life.sg.status ages mf FP MP year year_samp
EE_224 A 3 0 Y_288 AA_401 2009 2011
EE_225 A 3 1 AA_292 AA_409 2009 2011
EE_232 A 3 1 J_1246 AA_460 2009 2011
EE_298 A 3 1 AA_734 Z_55 2009 2011
EE_305 A 3 0 Y_228 Z_129 2009 2011
EE_312 A 3 1 X_363 Z_174 2009 2011
EE_464 A 3 1 AA_186 Y_800 2009 2011
EE_467 A 3 1 M_1198 Y_831 2009 2011
EE_501 A 3 0 Z_546 X_539 2009 2011
EE_511 A 3 1 AA_81 X_710 2009 2011
EE_541 A 3 0 Z_212 W_472 2009 2011
EE_545 A 3 1 Z_435 W_502 2009 2011
EE_597 A 3 0 V_566 V_908 2009 2011
EE_609 A 3 1 BB_80 U_271 2009 2011
EE_620 A 3 0 U_1084 U_715 2009 2011
EE_661 A 3 0 BB_560 S_429 2009 2011
EE_686 A 3 0 V_348 Q_678 2009 2011
EE_690 A 3 1 Z_887 Q_1092 2009 2011
EE_693 A 3 0 AA_126 P_490 2009 2011
DD_2 A 4 1 Q_328 AA_3 2008 2011
DD_37 A 4 1 M_1445 AA_152 2008 2011
DD_66 A 4 1 AA_545 AA_266 2008 2011
DD_104 A 4 0 S_213 AA_499 2008 2011
DD_115 A 4 0 W_726 AA_564 2008 2011
DD_128 A 4 0 Y_300 AA_653 2008 2011
DD_133 A 4 1 AA_6 AA_674 2008 2011
DD_134 A 4 0 Z_221 AA_677 2008 2011
DD_206 A 4 1 Q_1012 Z_189 2008 2011
DD_236 A 4 1 V_923 Z_400 2008 2011
DD_242 A 4 0 Z_311 Z_424 2008 2011
DD_280 A 4 1 V_697 Z_687 2008 2011
DD_443 A 4 1 Z_268 X_384 2008 2011
DD_703 A 4 1 N_844 Q_678 2008 2011
CC_43 A 5 1 W_781 Z_199 2007 2011
CC_86 A 5 0 V_108 Z_405 2007 2011
CC_93 A 5 1 Y_144 Z_440 2007 2011
CC_313 A 5 1 Z_311 Y_825 2007 2011
CC_328 A 5 1 Z_482 X_5 2007 2011
CC_507 A 5 1 S_1167 W_1046 2007 2011
CC_556 A 5 1 Z_730 V_696 2007 2011
CC_629 A 5 1 Z_307 T_503 2007 2011
CC_733 A 5 0 Y_423 P_551 2007 2011
CC_784 A 5 1 V_952 A6641 2007 2011
BB_234 A 6 1 P_1197 X_341 2006 2011
BB_322 A 6 1 Q_1053 W_114 2006 2011
BB_359 A 6 1 N_1289 W_451 2006 2011
BB_479 A 6 1 V_778 V_402 2006 2011
BB_509 A 6 0 P_55 V_699 2006 2011
BB_542 A 6 1 X_303 U_162 2006 2011
BB_566 A 6 1 V_199 U_626 2006 2011
BB_669 A 6 0 T_430 S_491 2006 2011
AA_90 A 7 1 P_1137 X_449 2005 2011
AA_212 A 7 0 W_439 W_224 2005 2011
AA_273 A 7 0 T_1165 W_606 2005 2011
AA_282 A 7 1 U_992 W_666 2005 2011
AA_820 A 7 1 X_869 L_917 2005 2011
AA_829 A 7 1 T_1151 K_925 2005 2011
AA_847 A 7 0 W_656 A1194 2005 2011
AA_848 A 7 1 V_29 A6641 2005 2011
Z_21 A 8 1 W_561 W_79 2004 2011
Z_37 A 8 1 U_574 W_179 2004 2011
Z_55 A 8 1 T_1074 W_298 2004 2011
Z_126 A 8 1 Q_1124 W_611 2004 2011
Z_405 A 8 1 A9459 U_189 2004 2011
Z_628 A 8 0 U_224 S_429 2004 2011
Z_650 A 8 0 W_232 S_838 2004 2011
Z_721 A 8 0 R_425 Q_126 2004 2011
Y_105 A 9 1 T_1168 V_469 2003 2011
Y_241 A 9 1 V_635 U_242 2003 2011
Y_256 A 9 0 O_429 U_330 2003 2011
Y_263 A 9 1 U_745 U_374 2003 2011
Y_415 A 9 0 R_231 T_548 2003 2011
Y_576 A 9 0 U_193 S_870 2003 2011
X_712 A 10 1 O_1205 P_365 2002 2011
X_901 A 10 1 T_581 K_1217 2002 2011
W_64 A 11 0 H_1301 T_292 2001 2011
W_203 A 11 0 S_1042 T_928 2001 2011
T_245 A 14 1 O_275 Q_1142 1998 2011
P_588 A 18 1 K_292 J_1130 1994 2011
M_556 A 21 0 F_51 I_1314 1991 2011
J_239 A 24 0 C_749 G_1177 1988 2011
HH_3 J 1 0 Z_113 EE_28 2012 2012
HH_14 J 1 0 CC_217 EE_74 2012 2012
HH_20 J 1 0 CC_331 EE_92 2012 2012
HH_21 J 1 0 EE_689 EE_93 2012 2012
HH_38 J 1 1 BB_90 EE_158 2012 2012
HH_80 J 1 0 U_920 EE_332 2012 2012
HH_85 J 1 1 BB_785 EE_351 2012 2012
HH_86 J 1 1 EE_503 EE_353 2012 2012
HH_104 J 1 1 CC_462 EE_496 2012 2012
HH_115 J 1 0 AA_693 EE_539 2012 2012
HH_147 J 1 1 BB_723 EE_700 2012 2012
HH_154 J 1 0 Z_241 DD_7 2012 2012
HH_183 J 1 1 CC_688 DD_202 2012 2012
HH_212 J 1 1 EE_14 DD_372 2012 2012
HH_217 J 1 1 CC_449 DD_410 2012 2012
HH_240 J 1 0 P_1345 DD_550 2012 2012
HH_261 J 1 1 W_592 DD_731 2012 2012
HH_269 J 1 0 DD_624 CC_27 2012 2012
HH_272 J 1 0 CC_486 CC_44 2012 2012
HH_280 J 1 1 EE_327 CC_93 2012 2012
HH_295 J 1 0 EE_4 CC_285 2012 2012
HH_304 J 1 0 BB_79 CC_401 2012 2012
HH_312 J 1 0 CC_545 CC_479 2012 2012
HH_332 J 1 0 EE_624 CC_705 2012 2012
HH_335 J 1 0 BB_49 CC_731 2012 2012
HH_336 J 1 1 Z_309 CC_740 2012 2012
HH_346 J 1 1 Z_848 BB_23 2012 2012
HH_351 J 1 1 DD_303 BB_158 2012 2012
HH_416 J 1 1 EE_692 AA_208 2012 2012
HH_423 J 1 1 CC_733 AA_351 2012 2012
HH_434 J 1 0 CC_686 AA_515 2012 2012
HH_451 J 1 0 CC_57 AA_831 2012 2012
HH_452 J 1 1 DD_683 AA_848 2012 2012
HH_511 J 1 1 X_245 Y_241 2012 2012
HH_520 J 1 1 X_88 Y_421 2012 2012
HH_542 J 1 0 X_303 X_442 2012 2012
HH_568 J 1 0 AA_131 W_652 2012 2012
HH_580 J 1 0 CC_680 V_60 2012 2012
HH_587 J 1 0 EE_661 V_595 2012 2012
HH_627 J 1 0 DD_392 Q_152 2012 2012
HH_633 J 1 1 EE_531 P_627 2012 2012
GG_38 SA 2 0 BB_714 DD_172 2011 2012
GG_98 SA 2 1 CC_332 DD_465 2011 2012
GG_99 SA 2 1 BB_257 DD_466 2011 2012
GG_204 SA 2 0 CC_753 CC_322 2011 2012
GG_221 SA 2 0 Z_178 CC_465 2011 2012
GG_249 SA 2 1 DD_706 CC_689 2011 2012
GG_281 SA 2 1 V_494 BB_195 2011 2012
GG_289 SA 2 0 BB_675 BB_252 2011 2012
GG_307 SA 2 0 Z_244 BB_446 2011 2012
GG_327 SA 2 1 AA_93 BB_584 2011 2012
GG_331 SA 2 1 Z_857 BB_663 2011 2012
GG_458 SA 2 0 DD_344 Z_627 2011 2012
GG_482 SA 2 1 CC_540 Y_90 2011 2012
GG_513 SA 2 0 CC_772 Y_539 2011 2012
GG_536 SA 2 0 AA_179 X_671 2011 2012
GG_565 SA 2 1 CC_182 W_811 2011 2012
GG_576 SA 2 1 DD_255 V_222 2011 2012
GG_580 SA 2 0 X_534 V_449 2011 2012
FF_60 A 3 0 CC_527 CC_326 2010 2012
FF_63 A 3 1 AA_750 CC_341 2010 2012
FF_68 A 3 0 Z_589 CC_373 2010 2012
FF_70 A 3 0 CC_212 CC_400 2010 2012
FF_158 A 3 1 Z_122 BB_107 2010 2012
FF_183 A 3 1 CC_626 BB_275 2010 2012
